split_regime,participant_id,y_true,early_error,final_error,ever_correct,error_disappears_with_more_evidence,persistent_error,max_words_observed,probability_volatility,mean_unstable_slope_rate
participant_grouped_kfold,P01,0,True,True,False,False,True,5324,0.06212173664974661,
participant_grouped_kfold,P27,1,True,True,True,False,False,6468,0.12178225516013569,
participant_grouped_kfold,P28,1,True,True,True,False,False,6671,0.19796657556524416,
participant_grouped_kfold,P32,1,True,True,True,False,False,4883,0.17389275759155387,
participant_grouped_kfold,P35,1,True,True,False,False,True,6324,0.03607820051952924,
participant_grouped_kfold,P37,1,True,True,False,False,True,5808,0.013857167886146502,
participant_grouped_kfold,P41,1,True,True,True,False,False,6391,0.16118168160393073,
participant_grouped_kfold,P50,0,True,True,False,False,True,6486,0.09464437148594759,
text_balanced_unseen_reader,P01,0,True,True,False,False,True,5324,0.06212173664974661,
text_balanced_unseen_reader,P27,1,True,True,True,False,False,6468,0.12178225516013569,
text_balanced_unseen_reader,P28,1,True,True,True,False,False,6671,0.19796657556524416,
text_balanced_unseen_reader,P32,1,True,True,True,False,False,4883,0.17389275759155387,
text_balanced_unseen_reader,P35,1,True,True,False,False,True,6324,0.03607820051952924,
text_balanced_unseen_reader,P37,1,True,True,False,False,True,5808,0.013857167886146502,
text_balanced_unseen_reader,P41,1,True,True,True,False,False,6391,0.16118168160393073,
text_balanced_unseen_reader,P50,0,True,True,False,False,True,6486,0.09464437148594759,
unseen_reader,P01,0,True,True,False,False,True,5324,0.06212173664974661,
unseen_reader,P27,1,True,True,True,False,False,6468,0.12178225516013569,
unseen_reader,P28,1,True,True,True,False,False,6671,0.19796657556524416,
unseen_reader,P32,1,True,True,True,False,False,4883,0.17389275759155387,
unseen_reader,P35,1,True,True,False,False,True,6324,0.03607820051952924,
unseen_reader,P37,1,True,True,False,False,True,5808,0.013857167886146502,
unseen_reader,P41,1,True,True,True,False,False,6391,0.16118168160393073,
unseen_reader,P50,0,True,True,False,False,True,6486,0.09464437148594759,
unseen_reader_and_text,P01,0,False,True,True,False,False,3364,0.059207858089464056,
unseen_reader_and_text,P23,1,False,True,True,False,False,1813,0.15085377517400556,
unseen_reader_and_text,P25,1,True,True,False,False,True,2488,0.1547059757231522,
unseen_reader_and_text,P31,1,False,True,True,False,False,1169,0.01786863897145709,
unseen_reader_and_text,P37,1,True,True,False,False,True,1460,0.09329788101037283,
unseen_text,P01,0,True,True,True,False,False,3364,0.087823656229051,
unseen_text,P02,0,True,True,True,False,False,3796,0.13679322775350344,
unseen_text,P03,0,True,True,True,False,False,1813,0.1557401816863076,
unseen_text,P07,0,True,True,True,False,False,2336,0.16696193266116172,
unseen_text,P16,0,True,True,True,False,False,2336,0.13787370185317077,
unseen_text,P22,0,True,True,True,False,False,1813,0.137021992967539,
unseen_text,P26,1,False,True,True,False,False,1813,0.06720801398936829,
unseen_text,P29,1,True,True,False,False,True,873,0.010231891734963817,
unseen_text,P30,1,False,True,True,False,False,1813,0.025410050624552254,
unseen_text,P33,1,False,True,True,False,False,2336,0.06491436591330253,
unseen_text,P36,1,False,True,True,False,False,695,0.06655065051199502,
unseen_text,P37,1,True,True,True,False,False,1460,0.1838466023465413,
unseen_text,P41,1,False,True,True,False,False,2336,0.04789132676945279,
unseen_text,P42,0,True,True,True,False,False,1813,0.12247230010034253,
unseen_text,P45,0,True,True,True,False,False,2336,0.15314234518448613,
unseen_text,P48,0,True,True,True,False,False,3796,0.04187883352685377,
unseen_text,P49,0,True,True,True,False,False,1192,0.09041405290418814,
