final_model,split_regime,baseline_model,D3_BA,baseline_BA,beats_BA,D3_AUROC,baseline_AUROC,beats_AUROC,official_comparable_average,internal_simple_mean_D3_BA,internal_simple_mean_D3_AUROC,internal_simple_mean_baseline_BA,internal_simple_mean_baseline_AUROC
best_offline_all_full_evidence,unseen_reader,AhnCNN,0.8157894736842105,0.777,True,0.8988919667590027,0.853,True,False,0.8157894736842105,0.8988919667590027,0.777,0.853
best_offline_all_full_evidence,unseen_reader,Random Forest,0.8157894736842105,0.698,True,0.8988919667590027,0.8009999999999999,True,False,0.8157894736842105,0.8988919667590027,0.777,0.853
best_offline_all_full_evidence,unseen_reader,Logistic Regression,0.8157894736842105,0.755,True,0.8988919667590027,0.831,True,False,0.8157894736842105,0.8988919667590027,0.777,0.853
best_online_late_accumulation,unseen_reader,AhnCNN,0.6842105263157895,0.777,False,0.778393351800554,0.853,False,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_reader,Random Forest,0.6842105263157895,0.698,False,0.778393351800554,0.8009999999999999,False,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_reader,Logistic Regression,0.6842105263157895,0.755,False,0.778393351800554,0.831,False,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_reader_and_text,AhnCNN,0.5833333333333333,0.6559999999999999,False,0.7013888888888888,0.7490000000000001,False,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_reader_and_text,Random Forest,0.5833333333333333,0.597,False,0.7013888888888888,0.659,True,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_reader_and_text,Logistic Regression,0.5833333333333333,0.635,False,0.7013888888888888,0.6890000000000001,True,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_text,AhnCNN,0.738655462184874,0.775,False,0.7647058823529411,0.857,False,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_text,Random Forest,0.738655462184874,0.815,False,0.7647058823529411,0.915,False,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_text,Logistic Regression,0.738655462184874,0.7659999999999999,False,0.7647058823529411,0.833,False,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_reader,AhnCNN,0.7763157894736843,0.777,False,0.7950138504155125,0.853,False,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_reader,Random Forest,0.7763157894736843,0.698,True,0.7950138504155125,0.8009999999999999,False,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_reader,Logistic Regression,0.7763157894736843,0.755,True,0.7950138504155125,0.831,False,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_reader_and_text,AhnCNN,0.7013888888888888,0.6559999999999999,True,0.763888888888889,0.7490000000000001,True,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_reader_and_text,Random Forest,0.7013888888888888,0.597,True,0.763888888888889,0.659,True,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_reader_and_text,Logistic Regression,0.7013888888888888,0.635,True,0.763888888888889,0.6890000000000001,True,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_text,AhnCNN,0.6827880512091038,0.775,False,0.7695590327169275,0.857,False,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_text,Random Forest,0.6827880512091038,0.815,False,0.7695590327169275,0.915,False,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_text,Logistic Regression,0.6827880512091038,0.7659999999999999,False,0.7695590327169275,0.833,False,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_reader,AhnCNN,0.763157894736842,0.777,False,0.7770083102493074,0.853,False,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_reader,Random Forest,0.763157894736842,0.698,True,0.7770083102493074,0.8009999999999999,False,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_reader,Logistic Regression,0.763157894736842,0.755,True,0.7770083102493074,0.831,False,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_reader_and_text,AhnCNN,0.8194444444444444,0.6559999999999999,True,0.8333333333333333,0.7490000000000001,True,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_reader_and_text,Random Forest,0.8194444444444444,0.597,True,0.8333333333333333,0.659,True,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_reader_and_text,Logistic Regression,0.8194444444444444,0.635,True,0.8333333333333333,0.6890000000000001,True,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_text,AhnCNN,0.6447368421052632,0.775,False,0.6883656509695291,0.857,False,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_text,Random Forest,0.6447368421052632,0.815,False,0.6883656509695291,0.915,False,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_text,Logistic Regression,0.6447368421052632,0.7659999999999999,False,0.6883656509695291,0.833,False,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_reader,AhnCNN,0.49584199584199584,0.777,False,0.5176715176715176,0.853,False,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_reader,Random Forest,0.49584199584199584,0.698,False,0.5176715176715176,0.8009999999999999,False,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_reader,Logistic Regression,0.49584199584199584,0.755,False,0.5176715176715176,0.831,False,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_reader_and_text,AhnCNN,0.5,0.6559999999999999,False,0.7857142857142857,0.7490000000000001,True,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_reader_and_text,Random Forest,0.5,0.597,False,0.7857142857142857,0.659,True,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_reader_and_text,Logistic Regression,0.5,0.635,False,0.7857142857142857,0.6890000000000001,True,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_text,AhnCNN,0.5596590909090909,0.775,False,0.6164772727272727,0.857,False,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_text,Random Forest,0.5596590909090909,0.815,False,0.6164772727272727,0.915,False,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_text,Logistic Regression,0.5596590909090909,0.7659999999999999,False,0.6164772727272727,0.833,False,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_unseen_text_specialist,unseen_text,AhnCNN,0.7546218487394958,0.775,False,0.8638655462184874,0.857,True,False,0.7546218487394958,0.8638655462184874,0.815,0.915
best_unseen_text_specialist,unseen_text,Random Forest,0.7546218487394958,0.815,False,0.8638655462184874,0.915,False,False,0.7546218487394958,0.8638655462184874,0.815,0.915
best_unseen_text_specialist,unseen_text,Logistic Regression,0.7546218487394958,0.7659999999999999,False,0.8638655462184874,0.833,True,False,0.7546218487394958,0.8638655462184874,0.815,0.915
best_offline_all_full_evidence,unseen_reader,best_provided_baseline,0.8157894736842105,0.777,True,0.8988919667590027,0.853,True,False,0.8157894736842105,0.8988919667590027,0.777,0.853
best_online_early_detection,unseen_reader,best_provided_baseline,0.763157894736842,0.777,False,0.7770083102493074,0.853,False,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_reader_and_text,best_provided_baseline,0.8194444444444444,0.6559999999999999,True,0.8333333333333333,0.7490000000000001,True,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_early_detection,unseen_text,best_provided_baseline,0.6447368421052632,0.815,False,0.6883656509695291,0.915,False,False,0.7424463937621831,0.7662357648507232,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_reader,best_provided_baseline,0.6842105263157895,0.777,False,0.778393351800554,0.853,False,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_reader_and_text,best_provided_baseline,0.5833333333333333,0.6559999999999999,False,0.7013888888888888,0.7490000000000001,False,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_late_accumulation,unseen_text,best_provided_baseline,0.738655462184874,0.815,False,0.7647058823529411,0.915,False,False,0.668733107277999,0.7481627076807946,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_reader,best_provided_baseline,0.7763157894736843,0.777,False,0.7950138504155125,0.853,False,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_reader_and_text,best_provided_baseline,0.7013888888888888,0.6559999999999999,True,0.763888888888889,0.7490000000000001,True,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_mid_detection,unseen_text,best_provided_baseline,0.6827880512091038,0.815,False,0.7695590327169275,0.915,False,False,0.7201642431905589,0.7761539240071097,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_reader,best_provided_baseline,0.49584199584199584,0.777,False,0.5176715176715176,0.853,False,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_reader_and_text,best_provided_baseline,0.5,0.6559999999999999,False,0.7857142857142857,0.7490000000000001,True,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_online_stopping_detector,unseen_text,best_provided_baseline,0.5596590909090909,0.815,False,0.6164772727272727,0.915,False,False,0.5185003622503622,0.6399543587043587,0.7493333333333333,0.8390000000000001
best_unseen_text_specialist,unseen_text,best_provided_baseline,0.7546218487394958,0.815,False,0.8638655462184874,0.915,False,False,0.7546218487394958,0.8638655462184874,0.815,0.915
