model,mode,claim_type,official_mode,exact_folds,exact_processed_data,unseen_reader_balanced_accuracy,unseen_text_balanced_accuracy,unseen_reader_text_balanced_accuracy,average_balanced_accuracy,unseen_reader_AUROC,unseen_text_AUROC,unseen_reader_text_AUROC,average_AUROC,notes
D3_EyeBench_Lite,official_eyebench_subset,official_attempt_failed,False,False,False,,,,,,,,,Generated by OfficialEyeBenchAlignment v1.
D3_FullFeature_EyeBenchFolds,eyebench_folds_full_feature_intersection,EyeBench-fold-aligned_full-feature_non-official,False,True,False,0.7387387387387387,0.6975903614457831,0.711038961038961,0.7157893537411609,0.8123123123123123,0.8140562248995985,0.724025974025974,0.7834648370792948,Generated by OfficialEyeBenchAlignment v1.
D3_FullData_EyeBenchStyle,full_data_eyebench_style,internal_EyeBench-style_benchmark-relative,False,False,False,0.8157894736842105,0.7443850267379679,0.7458333333333333,0.7686692779185039,0.8961218836565096,0.8284880894506563,0.8541666666666666,0.8595922132579442,Generated by OfficialEyeBenchAlignment v1.
Majority Class / Chance,official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.503,0.496,0.501,,0.503,0.496,0.501,,EyeBench formatted CopCo_TYP test table central value.
Reading Speed,official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.5770000000000001,0.5489999999999999,0.506,,0.607,0.562,0.509,,EyeBench formatted CopCo_TYP test table central value.
Text-Only Roberta,official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.5,0.5,0.5,,0.47,0.5,0.504,,EyeBench formatted CopCo_TYP test table central value.
Logistic Regression~\cite{meziere2023using},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.755,0.7659999999999999,0.635,,0.831,0.833,0.6890000000000001,,EyeBench formatted CopCo_TYP test table central value.
SVM~\cite{hollenstein2023zuco},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.7070000000000001,0.774,0.647,,0.7070000000000001,0.774,0.647,,EyeBench formatted CopCo_TYP test table central value.
Random Forest~\cite{makowski2024detection},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.698,0.815,0.597,,0.8009999999999999,0.915,0.659,,EyeBench formatted CopCo_TYP test table central value.
AhnRNN~\citep{ahn2020towards},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.5,0.5,0.5,,0.501,0.5,0.5,,EyeBench formatted CopCo_TYP test table central value.
AhnCNN~\citep{ahn2020towards},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.777,0.775,0.6559999999999999,,0.853,0.857,0.7490000000000001,,EyeBench formatted CopCo_TYP test table central value.
BEyeLSTM~\citep{reich_inferring_2022},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.7190000000000001,0.768,0.647,,0.794,0.85,0.6920000000000001,,EyeBench formatted CopCo_TYP test table central value.
PLM-AS~\citep{Yang2023PLMASPL},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.552,0.573,0.5589999999999999,,0.5760000000000001,0.585,0.594,,EyeBench formatted CopCo_TYP test table central value.
PLM-AS-RM~\citep{haller2022eye},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.609,0.716,0.546,,0.639,0.8009999999999999,0.55,,EyeBench formatted CopCo_TYP test table central value.
RoBERTEye-W~\citep{Shubi2024Finegrained},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.7,0.685,0.619,,0.7829999999999999,0.767,0.682,,EyeBench formatted CopCo_TYP test table central value.
RoBERTEye-F~\citep{Shubi2024Finegrained},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.606,0.603,0.54,,0.7190000000000001,0.747,0.633,,EyeBench formatted CopCo_TYP test table central value.
MAG-Eye~\citep{Shubi2024Finegrained},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.47200000000000003,0.49700000000000005,0.514,,0.45899999999999996,0.547,0.561,,EyeBench formatted CopCo_TYP test table central value.
PostFusion-Eye~\citep{Shubi2024Finegrained},official_eyebench_reported_baseline,official_reported_reference,True,True,True,0.647,0.6890000000000001,0.57,,0.731,0.7809999999999999,0.655,,EyeBench formatted CopCo_TYP test table central value.
