model,mode,claim_type,metric_basis,official_mode,exact_folds,exact_processed_data,unseen_reader_balanced_accuracy,unseen_text_balanced_accuracy,unseen_reader_text_balanced_accuracy,average_balanced_accuracy,unseen_reader_AUROC,unseen_text_AUROC,unseen_reader_text_AUROC,average_AUROC,notes
D3_EyeBench_Lite,official_eyebench_subset,official_attempt_failed,official_trial_level_fold_mean,False,False,False,,,,,,,,,Official SOTACheck v1 D3 lite result.
Majority Class / Chance,official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.503,0.496,0.501,0.5,0.503,0.496,0.501,0.5,Published EyeBench formatted CopCo_TYP test table central value.
Reading Speed,official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.5770000000000001,0.5489999999999999,0.506,0.5439999999999999,0.607,0.562,0.509,0.5593333333333333,Published EyeBench formatted CopCo_TYP test table central value.
Text-Only Roberta,official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.5,0.5,0.5,0.5,0.47,0.5,0.504,0.49133333333333334,Published EyeBench formatted CopCo_TYP test table central value.
Logistic Regression~\cite{meziere2023using},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.755,0.7659999999999999,0.635,0.7186666666666666,0.831,0.833,0.6890000000000001,0.7843333333333332,Published EyeBench formatted CopCo_TYP test table central value.
SVM~\cite{hollenstein2023zuco},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.7070000000000001,0.774,0.647,0.7093333333333334,0.7070000000000001,0.774,0.647,0.7093333333333334,Published EyeBench formatted CopCo_TYP test table central value.
Random Forest~\cite{makowski2024detection},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.698,0.815,0.597,0.7033333333333333,0.8009999999999999,0.915,0.659,0.7916666666666666,Published EyeBench formatted CopCo_TYP test table central value.
AhnRNN~\citep{ahn2020towards},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.5,0.5,0.5,0.5,0.501,0.5,0.5,0.5003333333333333,Published EyeBench formatted CopCo_TYP test table central value.
AhnCNN~\citep{ahn2020towards},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.777,0.775,0.6559999999999999,0.7360000000000001,0.853,0.857,0.7490000000000001,0.8196666666666667,Published EyeBench formatted CopCo_TYP test table central value.
BEyeLSTM~\citep{reich_inferring_2022},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.7190000000000001,0.768,0.647,0.7113333333333335,0.794,0.85,0.6920000000000001,0.7786666666666667,Published EyeBench formatted CopCo_TYP test table central value.
PLM-AS~\citep{Yang2023PLMASPL},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.552,0.573,0.5589999999999999,0.5613333333333334,0.5760000000000001,0.585,0.594,0.585,Published EyeBench formatted CopCo_TYP test table central value.
PLM-AS-RM~\citep{haller2022eye},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.609,0.716,0.546,0.6236666666666667,0.639,0.8009999999999999,0.55,0.6633333333333333,Published EyeBench formatted CopCo_TYP test table central value.
RoBERTEye-W~\citep{Shubi2024Finegrained},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.7,0.685,0.619,0.668,0.7829999999999999,0.767,0.682,0.7439999999999999,Published EyeBench formatted CopCo_TYP test table central value.
RoBERTEye-F~\citep{Shubi2024Finegrained},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.606,0.603,0.54,0.5830000000000001,0.7190000000000001,0.747,0.633,0.6996666666666668,Published EyeBench formatted CopCo_TYP test table central value.
MAG-Eye~\citep{Shubi2024Finegrained},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.47200000000000003,0.49700000000000005,0.514,0.49433333333333335,0.45899999999999996,0.547,0.561,0.5223333333333334,Published EyeBench formatted CopCo_TYP test table central value.
PostFusion-Eye~\citep{Shubi2024Finegrained},official_eyebench_reported_baseline,official_reported_reference,published_fold_mean,True,True,True,0.647,0.6890000000000001,0.57,0.6353333333333334,0.731,0.7809999999999999,0.655,0.7223333333333333,Published EyeBench formatted CopCo_TYP test table central value.
